reference,documentation-url,person,entry-date,notes
074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,https://ucl.rl.talis.com/modules/casa0006.html,huanfa-chen,2025-07-08,Academic Year 2025/26
14F7EC69-3236-486A-5D3B-01B939E718AE,https://ucl.rl.talis.com/modules/casa0013.html,jon-reades,2025-07-08,Academic Year 2025/26
2F2A7E4B-B152-BF2B-F545-9CA96493F756,https://ucl.rl.talis.com/modules/casa0001.html,jens-kandt,2025-07-08,Academic Year 2025/26
47B7C011-69AE-E2E9-C205-CEED361CD0EA,https://ucl.rl.talis.com/modules/casa0003.html,duncan-smith,2025-07-08,Academic Year 2025/26
A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,https://ucl.rl.talis.com/modules/casa0002.html,elsa-arcaute,2025-07-08,Academic Year 2025/26
AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1,https://ucl.rl.talis.com/modules/casa0008.html,max-nathan,2025-07-08,Academic Year 2025/26
F337A367-A79E-5897-3521-039ADAAE58C0,https://ucl.rl.talis.com/modules/casa0007.html,huanfa-chen,2025-07-08,Academic Year 2025/26
F66757BF-E61E-B8BB-95A0-1F25B51E3818,https://ucl.rl.talis.com/modules/casa0005.html,andrew-maclachlan,2025-07-08,Academic Year 2025/26
FF07D106-8495-A29B-1581-0986A4A5FB26,https://ucl.rl.talis.com/modules/casa0011.html,thomas-evans,2025-07-08,Academic Year 2025/26
