reference,title,type,isbn10,isbn13,url,reading-lists,doi
1F62BE5A-94DA-F9DA-41CF-8C0AD127B1B2,The nature of code: simulating natural systems with JavaScript,book,1718503717;1718503709,9781718503717;9781718503700,http://readinglists.ucl.ac.uk/items/1F62BE5A-94DA-F9DA-41CF-8C0AD127B1B2.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
1FAAAC71-E420-84D7-1AA0-1A15133CC5FF,Beginning statistics: an introduction for social scientists,book,0761960619;0761960627,,http://readinglists.ucl.ac.uk/items/1FAAAC71-E420-84D7-1AA0-1A15133CC5FF.html,F337A367-A79E-5897-3521-039ADAAE58C0,
249C058E-C941-7C12-8BD0-BFA0B2AABA5C,"GIS, spatial analysis, and modeling",book,1589481305,,http://readinglists.ucl.ac.uk/items/249C058E-C941-7C12-8BD0-BFA0B2AABA5C.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
277EE656-BF6B-AEF1-3DD7-5A035DB2C814,Turing's cathedral: the origins of the digital universe,book,0713997508,9780713997507,http://readinglists.ucl.ac.uk/items/277EE656-BF6B-AEF1-3DD7-5A035DB2C814.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
2931EC52-A6DD-82B5-21E6-835E3A0B49DD,Geospatial analysis and modelling of urban structure and dynamics,book,,9789048185726,http://readinglists.ucl.ac.uk/items/2931EC52-A6DD-82B5-21E6-835E3A0B49DD.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,
2ADD7410-773F-BC37-C89F-107CEB019541,"GIS, spatial analysis, and modeling",book,1589481305,,http://readinglists.ucl.ac.uk/items/2ADD7410-773F-BC37-C89F-107CEB019541.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,
308C9980-C86C-B3BC-D81A-ED2E7A739143,GIS&T Body of Knowledge,book,,,http://readinglists.ucl.ac.uk/items/308C9980-C86C-B3BC-D81A-ED2E7A739143.html,14F7EC69-3236-486A-5D3B-01B939E718AE:Recommended,
30B34F43-D18D-F95D-BF67-AAF0C6590E86,Engineering mathematics,book,1403942463,9781403942463,http://readinglists.ucl.ac.uk/items/30B34F43-D18D-F95D-BF67-AAF0C6590E86.html,F337A367-A79E-5897-3521-039ADAAE58C0,
34652867-7542-4AAD-C178-3A6C5B48DEF0,Dear data,book,,9781846149061,http://readinglists.ucl.ac.uk/items/34652867-7542-4AAD-C178-3A6C5B48DEF0.html,47B7C011-69AE-E2E9-C205-CEED361CD0EA,
34805242-38CD-71AA-C072-ACFD9832BA75,GIS: geographic information systems for the social sciences : investigating space and place,book,0761928731;0761928723,,http://readinglists.ucl.ac.uk/items/34805242-38CD-71AA-C072-ACFD9832BA75.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,10.4135/9781452239811
384BC0BA-1073-BE65-5F3A-9CD57FD87C0B,"Geographic information science & systems, chapter 16 and 22",book,1119031575;1118676955,9781119031574;9781118676950,http://readinglists.ucl.ac.uk/items/384BC0BA-1073-BE65-5F3A-9CD57FD87C0B.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
396CD2CE-5825-4697-9E21-1F8834A321B8,"Practical Statistics for Data Scientists, 2nd Edition",book,,9781492072942,http://readinglists.ucl.ac.uk/items/396cd2ce-5825-4697-9e21-1f8834a321b8.html,F337A367-A79E-5897-3521-039ADAAE58C0,
39E64F3E-305E-EDFD-BC70-C2D207096DD6,Google BigQuery analytics,book,,9781118824870;9781118824825,http://readinglists.ucl.ac.uk/items/39E64F3E-305E-EDFD-BC70-C2D207096DD6.html,074DEFFB-49ED-BAF2-9296-6F0191E2EEC2,
3A8E9C1C-1BDF-A36D-52D4-564BC5E2F4FF,"Nonlinear dynamics, mathematical biology, and social science",book,0429973039,9780429973031,http://readinglists.ucl.ac.uk/items/3A8E9C1C-1BDF-A36D-52D4-564BC5E2F4FF.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,10.1201/9780429493409
3B83CDFD-62AD-1168-1F47-C9DC83F8D009,Statistical methods for geography: a student's guide,book,1526498812;1526498804,9781526498809;9781526498816,http://readinglists.ucl.ac.uk/items/3B83CDFD-62AD-1168-1F47-C9DC83F8D009.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,
3BE48AC5-B4D8-F21D-45EC-905099218491,Shaping things,book,026219533X;0262693267,9780262195331;9780262693264,http://readinglists.ucl.ac.uk/items/3BE48AC5-B4D8-F21D-45EC-905099218491.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,
3D042908-D3FC-38F6-3DB1-D680AA5A1C04,An introduction to R for spatial analysis and mapping,book,,9781036201869;9781529687514,http://readinglists.ucl.ac.uk/items/3D042908-D3FC-38F6-3DB1-D680AA5A1C04.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818:Essential,
3E4684EA-B480-5872-732A-CCA5BF2353C7,Spatial planning systems and practices in Europe: a comparative perspective on continuity and changes,book,,9780415727235;9780415727242,http://readinglists.ucl.ac.uk/items/3E4684EA-B480-5872-732A-CCA5BF2353C7.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,10.4324/9781315852577
